Channel Link,Channel Name,Channel Icon,Affinity Index,Power of Influence,Views,Users,Age,Gender
https://www.youtube.com/channel/UC1Em5dLrUUARx1FgnVf7gkA,التكنولوجيا والربح,https://yt3.ggpht.com/ytc/AKedOLSbkXnJi1LOSLFmYDPhFyIIseao-EaxkBKt5AaR=s88-c-k-c0x00ffffff-no-rj,5,0,150,150,,
https://www.youtube.com/channel/UC1I8pkwZShP-lk5H8mE8Awg,Algedaan - الجدعان,https://yt3.ggpht.com/ytc/AKedOLQeY3514TEdiVK0eafnghInfQvng8X-wlVzOVxs=s88-c-k-c0x00ffffff-no-rj,0,0,300,150,"25-34 : 26.1%
18-24 : 15.6%
Unknown : 4.4%
55-64 : 10.0%
35-44 : 25.6%
65+ : 5.6%
45-54 : 12.8%","Unknown : 2.8%
Female : 2.2%
Male : 95.0%"
https://www.youtube.com/channel/UC1JtDF9aSZsgod41ffjA_zA,Santa Gaming,https://yt3.ggpht.com/eCVSRlYzbSEXvlk1dc3H0cAl7hk75fy_BDPjWOf5ovsuGNKv_Yn2cINCLWaml9VD8rZLVAMJ=s88-c-k-c0x00ffffff-no-rj,1,0,100,100,18-24 : 100.0%,Male : 100.0%
https://www.youtube.com/channel/UC1M1X344ssYjSvjAXM0Rn2Q,Aljazeera Media Library مكتبة الجزيرة المرئية,https://yt3.ggpht.com/ytc/AKedOLR4wSY-xKQtGRTJ6Tv6RAS5bKAVGRfaLU1-lLK5UQ=s88-c-k-c0x00ffffff-no-rj,1,0,150,100,,
https://www.youtube.com/channel/UC1PddA2E8U5UpuM3Zjl_eAQ,أورجينال للأكسسوارات,https://yt3.ggpht.com/ytc/AKedOLTPQD3rayl_c51Stm71CXiwRFp2XlJWgQLPH86wtw=s88-c-k-c0x00ffffff-no-rj,1,0,100,100,,
https://www.youtube.com/channel/UC1Rdc5cnsBcJNuPh1l1HfAw,Lulua life لؤلؤه لايف,https://yt3.ggpht.com/ytc/AKedOLTRRGDYUZCRiGaH38Wm528Q6sHTvNDfKJp_nrVP=s88-c-k-c0x00ffffff-no-rj,33,0,1000,250,,
https://www.youtube.com/channel/UC1YZF8v9jX3dYeyMArCCUSw,Mahmoud Khalifa - محمود خليفة,https://yt3.ggpht.com/TFLrxYmsa0dGonnihWf4r2CYX9-WmL3OupTdMS_-1FZ2Ro37aMtMWmd8zkML4HMRjeKTsppg=s88-c-k-c0x00ffffff-no-rj,2,0,100,100,,
https://www.youtube.com/channel/UC1bxfg6Glrt_C-4xr5awZiw,MDOO GAMING,https://yt3.ggpht.com/APPbb3o77kzZhPyV3YghCLITZb4l53DB0mDBUSGAjkwFG9J3VRIO65BeJA1x361sst3Hny85-3c=s88-c-k-c0x00ffffff-no-rj,11,0,100,100,,
https://www.youtube.com/channel/UC1cmrWrFC3w7EktsbTqWWng,essam fouad,https://yt3.ggpht.com/mbIUqVPYiJ0McL8Mc3T7SQE-cjwAZza5M8h3mtlcH6AmIVdc9rlH6-Mh0RFO1JYnxfRpDSbkUJA=s88-c-k-c0x00ffffff-no-rj,18,0,3000,2000,25-34 : 100.0%,Male : 100.0%
https://www.youtube.com/channel/UC1d8lMskKLGfDzrkYfIwfiA,مراجع برامج,https://yt3.ggpht.com/ytc/AKedOLTBUYRgBTx9AwKIwKgeNQGcKeUv1A8H5H1aNj-o=s88-c-k-c0x00ffffff-no-rj,8,0,300,300,,
